"section","title","text","image"
"Community Announcements","New AmeriCorps Positions","Restorative Practices Coordinator:
(June 1-August 31, 2026) The Restorative Practices Coordinator (RPC) will play a pivotal role in supporting a safe, inclusive and supportive environment for Mancos Summer Hub participants. The RPC will implement a system that embeds restorative practices to foster positive relationships, resolve conflicts, and promote social-emotional (SEL) growth. They will serve closely with the Hub Director and On-Site Counselor to conduct RP and SEL lessons, lead restorative circles, provide peer mediation, de-escalation, and conflict resolution strategies, equip staff to do the same and provide recommendations for embedding this in the Summer Hub model generally.

Education Facilitator:
(Sept.1, 2026- May 31, 2027) The SOIL Lab Education Facilitator will support outdoor environmental education programming at the SOIL Outdoor Learning Lab, a community garden, 42-ft Grow Dome greenhouse, and aquaponics facility in Durango, CO. Responsibilities include leading PreK–college field trips, supporting community education events and off-site outreach, assisting with garden maintenance, and contributing to the design and development of The SOIL Hub, a new outdoor gathering and learning space. The member will also help implement new middle and high school curricula focused on science, sustainability, and social-emotional well-being. This is a hands-on, creative role with room to shape programming as the site grows.

Garden Educator:
(Sept. 1, 2026-Aug. 31, 2027) Garden Educators serve at Montezuma School to Farm Project (MSTFP) supporting food literacy education for elementary students in the Cortez and Mancos school districts. Members maintain school gardens, harvest and distribute produce, and lead programming focused on nutrition, food production, and resource conservation. Duties shift seasonally between hands-on gardening and teaching or program planning. Members co-teach garden curriculum aligned to Colorado and Next Generation Science Standards, coordinate with volunteers and community partners, and help plan community outreach events. Members also track AmeriCorps data and attend Team Up trainings and Days of Service. This role requires initiative, adaptability, and cultural awareness.

All positions will receive a living stipend and an education award on completion of hours. Health insurance and childcare assistance available for full time positions. Additional benefits included depending on the position.

For more information and to check all active listings go [HERE](https://www.teamupsw.org/team-up-americorps-open-positions)
To apply: Email a cover letter and resume to Team Up AmeriCorps Coordinator [Brenna Travis](BrennaT@TeamUpSW.org)
Be sure to indicate which position(s) you are interested in.",""
"Swap Market","Refrigerator Needed","Local Mancos youth nonprofit seeks donations (or nominally priced) of used, running refrigerators and/or freezers. Any size welcome and can pick up with 50 miles. Please contact Kevin at 970-533-7492 ext 17 or kitchen@deerhillexpeditions.com",""
"Housing Opportunities","Looking to Buy (and Rent in the Meantime) in Mancos","We're a family actively looking to purchase a home in Mancos. A two or three bedroom close to town is ideal and we don't mind if it needs some fixing up.

While we search, we're also looking for a furnished rental for 2–4 months starting now, but we're flexible since we are in our camper at the moment.
We're quiet, clean, and easy to work with. We own and operate a rental property in Arizona, so we know how to treat a home with care. We have an eight-year-old who loves to be outside and a well trained Australian Shepherd mix.
If you have something available or know someone who does, we'd love to connect! Thank you.

Melissa and Chris 708-347-3078 or 928-300-0481",""
"Community Announcements","Introduction to Shamanism Retreat in Mancos: Early Bird Registration Now Open!","Friends,
I am excited to let you know that my Introduction to Shamanic Journeying retreat at Deer Hill in Mancos is back by popular demand! Early Bird Registration is now available through June 30.
Shamanism in Times of Death and Rebirth: An Introduction to Shamanic Journeying & Sacred Circle Ways
An immersive retreat in beautiful Mancos, Colorado, October 23-25, 2026
Why shamanism, and why now?

Every day, we watch humans living out of harmony with each other and the living world. The destruction is real. The suffering of the most vulnerable among us is real. And many of us are carrying fear, anger, and a grief we can't quite name, a sense that the ground is being torn from beneath us.
Many of us long for something vastly different: a new (old) world rooted in sacred reciprocity with each other and the living Earth, and a spiritual practice that supports us to create it.

This retreat is a doorway in.
In this retreat, you will:
Learn to find your ground in these times, not in systems that have long failed us, but in the ancient art of shamanic journeying, a practice that empowers you to receive guidance directly from Spirit without any intervening authority figure to tell you what to believe.
Practice sacred reciprocity with the natural world and each other.
Journey on the most important questions of our times: What might a world rooted in reverence and care for all life look like? How can we birth it? What is your unique role to play?
You can find more details and secure your spot here.
Thanks for your time, and please feel free to share this with people who may want to hear about it! Kris","Images/Intro-Shamanic-Retreat-2026.jpg"
"Community Announcements","Shamanism as a Way of Life: A Time for Experienced Shamanic Journeyers to Reclaim Rest, Connection, and Community","Friends,
I'm excited to share that registration is now open for a retreat I've been dreaming of for a long time:


Shamanism as a Way of Life: A Time for Shamanic Journeyers toReclaim Rest, Connection, and Community
Facilitated by S. Kris Abrams in beautiful southwest Colorado, August 20-23, 2026

You already know how to journey. You know what it feels like when your Helping Spirits speak, when the land answers back, when something shifts that couldn't have shifted any other way.

What may be missing is the third thing: not the teaching, not the healing, but the circle. The ongoing community of shamanic journeyers living in sacred reciprocity with each other and the Earth.

This retreat is an experiment in building that third thing.

Come rest, reconnect with your Helping Spirits and with each other, deepen your practice, and be part of the second generation of restoring shamanism to a world that needs it most.

Registration is limited to fifteen. Early registration is encouraged.
CLICK HERE TO REGISTER, and please share this with anyone who may be ready.

Thank you!
Kris","Images/2026-Advanced-Shamanic-Retreat.png"
"Housing Opportunities","3BD 1.5BA Rental Cortez","3 BED - 1.5 BATH HOUSE - $2,000/mo. + utilities
Available July 1st

Located on a spacious 0.25-acre corner lot at the end of North Market Street, this 3-bedroom, 1.5-bath, 1,200 sq. ft. home offers the perfect balance of in-town convenience and direct access to nature.
Enjoy unobstructed views of the La Plata Mountains and the Colorado Plateau from all three bedrooms—two with sliding glass doors.
Step out into the fully fenced backyard—featuring a large stone patio—and walk directly into Carpenter Nature Area and Geer Open Space, where you can stroll or bike for miles.
Or walk just over a quarter mile south to enjoy nearby restaurants, shops, and a local brewery.
This section of Market Street is wide and calm, featuring a tree and grass-lined center island that adds to the neighborhood’s beauty and peaceful atmosphere.
The property includes mature and more recently planted trees in both the front and back yards, a small front porch, and additional green space to enjoy.
The home features a one-car attached garage with ample storage, a private driveway with carport, and newer appliances, including a Bosch dishwasher and a washer/dryer set (all about three years old).
A/C is available for comfort in the warmer months.
The hardwood floors (in all rooms except the kitchen) are scheduled to be refinished in mid-June.
One year lease and security deposit required.
Well-behaved pets are allowed with a deposit.
Sewer is included; all other utilities are the responsibility of the tenant.
TEXT/CALL FOR MORE INFORMATION
970.676.1146","Images/3BD-1.5BA-RENTAL.jpg"
"Swap Market","Antiques for Sale","A sale of antique furniture (and newer) in a private Cortez home.Call for information.  970.570.7555",""
"Community Announcements","RODEO Window Painting Competition","Attention Local Businesses!
It’s almost rodeo time, and the UMR Window Decorating Contest is back!

This year’s theme is:
250 Years of Freedom
Celebrating the Spirit of the USA! (1776–2026) Businesses throughout the area are invited to decorate their storefronts and windows in patriotic western style for a chance to win cash prizes and rodeo tickets.

Prizes:
🥇 1st Place – $200 + 2 rodeo tickets
🥈 2nd Place – $150 + 2 rodeo tickets
🥉 3rd Place – $100 + 2 rodeo tickets

To enter, text:
Elizabeth Sparks @ 970-739-5776 - with your business name, address, and email address. Displays must be completed by 8:00 AM on Monday, June 1st. Let’s make our community festive, fun, and full of rodeo spirit!
See attached flyer for full details.","Images/Rodeo-window.png"
"Swap Market","Garage Sale Announcement","Come to our garage sale this Saturday, 5/30, from 9:00-4:00.

The sale will have items from 3 homes and will include household items, artwork, plants, and toys/games.
Of specific interest may be Lego Mindstorm, an electric drum kit, and Pokémon things.
We are at 146 W. Montezuma Ave in Cortez.

Thanks for helping us do some down sizing.  Geof",""
"Community Announcements","MSTFP is Hiring AmeriCorps","The Montezuma School to Farm Project is looking for two AmeriCorps service members starting September 1st for a 1 year term of service as a Garden Educator.
Pay is a stipend of $1,115.63 twice a month and upon completion of the service term you will receive a $5,176.50 education award.
We are looking for someone interested in growing food, increasing food literacy and working with students!

Visit our website to learn more or [email](sredford@mstfp.org)","Images/MSTFP-AmeriCorps.png"
